2010 Census Code,2010 SOC Code
5630,43-5111 
5700,43-6010 
5800,43-9011
5810,43-9021
5820,43-9022
5830,43-9031
5840,43-9041
5850,43-9051
5860,43-9061 
5910,43-9081
5920,43-9111
5940,43-9199 
6005,45-1011  
6010,45-2011
6020,45-2021 
6040,45-2041
6050,45-2090
6100,45-3011
6110,45-3021
6120,45-4011
6130,45-4020
6200,47-1011
6210,47-2011 
6220,47-2020 
6230,47-2031 
6240,47-2040 
6250,47-2050 
6260,47-2061
6300,47-2071 
6310,47-2072 
6320,47-2073 
6330,47-2080
6355,47-2111
6360,47-2121
6400,47-2130
6420,47-2141
6430,47-2142
6440,47-2150
6460,47-2161
6500,47-2171 
6515,47-2181 
6520,47-2211 
6530,47-2221
6540,47-2231
6600,47-3010
6660,47-4011
6700,47-4021 
6710,47-4031 
6720,47-4041 
6730,47-4051 
6740,47-4061 
6750,47-4071 
6765,47-4090
6800,47-5010 
6820,47-5021
6830,47-5031 
6840,47-5040
6910,47-5061 
6920,47-5071 
6930,47-5081 
7000,49-1011
7010,49-2011
7020,49-2020
7030,49-2091
7040,49-2092
7050,49-2093
7100,49-2094
7100,49-2095
7110,49-2096
7120,49-2097
7130,49-2098
7140,49-3011
7150,49-3021
7160,49-3022 
7200,49-3023
7210,49-3031
7220,49-3040 
7240,49-3050 
7260,49-3090 
7300,49-9010
7315,49-9021
7320,49-9031
7350,49-9043
7360,49-9044
7410,49-9051
7420,49-9052
7430,49-9060
7340,49-9071
7440,49-9081
7510,49-9091
7520,49-9092
7540,49-9094
7550,49-9095
7560,49-9096
7600,49-9097
7610,49-9098
7630,49-9099
7700,51-1011
7710,51-2011 
7720,51-2020 
7730,51-2031 
7740,51-2041 
7750,51-2090
7800,51-3011
7810,51-3020
7830,51-3091
7840,51-3092
7850,51-3093
7855,51-3099
7900,51-4010
7920,51-4021
7930,51-4022
7940,51-4023
7950,51-4031
7960,51-4032
8000,51-4033
8010,51-4034
8020,51-4035
8030,51-4041
8040,51-4050
8060,51-4060
8100,51-4070
8120,51-4081
8130,51-4111
8140,51-4120
8150,51-4191
8160,51-4192
8200,51-4193
8210,51-4194
8220,51-4199
8250,51-5111
8255,51-5112 
8256,51-5113 
8300,51-6011
8310,51-6021
8320,51-6031
8330,51-6041
8340,51-6042
8350,51-6050
8360,51-6061
8400,51-6062
8410,51-6063
8420,51-6064
8430,51-6091
8440,51-6092
8450,51-6093
8460,51-6099
8500,51-7011
8510,51-7021
8520,51-7030
8530,51-7041
8540,51-7042
8550,51-7099
8600,51-8010
8610,51-8021
8620,51-8031
8630,51-8090
8640,51-9010
8650,51-9020
8710,51-9030
8720,51-9041
8730,51-9051
8740,51-9061
8750,51-9071
8760,51-9080
8800,51-9111
8810,51-9120
8840,51-9141
8830,51-9151
8850,51-9191
8860,51-9192
8900,51-9193
8910,51-9194
8920,51-9195
8930,51-9196
8940,51-9197
8950,51-9198
8965,51-9199
9000,53-1000 
9030,53-2010
9040,53-2020 
9050,53-2031
9110,53-3011
9120,53-3020
9130,53-3030
9140,53-3041
9150,53-3099 
9200,53-4010 
9230,53-4021
9240,53-4031 
9260,53-4041
9300,53-5011
9310,53-5020 
9330,53-5031
9340,53-6011
9350,53-6021
9360,53-6031 
9410,53-6051
9415,53-6061
9420,53-6062
9420,53-6063
9420,53-6064
9420,53-6065
9420,53-6066
9420,53-6067
9420,53-6068
9420,53-6069
9420,53-6070
9420,53-6071
9420,53-6072
9420,53-6073
9420,53-6074
9420,53-6075
9420,53-6076
9420,53-6077
9420,53-6078
9420,53-6079
9420,53-6080
9420,53-6081
9420,53-6082
9420,53-6083
9420,53-6084
9420,53-6085
9420,53-6086
9420,53-6087
9420,53-6088
9420,53-6089
9420,53-6090
9420,53-6091
9420,53-6092
9420,53-6093
9420,53-6094
9420,53-6095
9420,53-6096
9420,53-6097
9420,53-6098
9420,53-6099
9500,53-7011
9510,53-7021
9520,53-7030 
9560,53-7041 
9600,53-7051
9610,53-7061
9620,53-7062
9630,53-7063
9640,53-7064
9650,53-7070 
9720,53-7081
9730,53-7111
9740,53-7121
9750,53-7199 
9800,55-1010
9810,55-2010
9820,55-3010
9830,none
9920,none
,
,
,
,
,
